数码相机,digital-cameras,0,Y
便携数码,compact-cameras,1,
单反相机,dslr,2,
单电/微单,mirroless,3,
旁轴数码,rangefinder,4,
数码后背,digital-back,5,
中大画幅,large-format,6,
数码摄像机,camcorders,1,Y
家用摄像机,consumer-camcorder,1,
运动摄像机,sports-camcorder,2,
专业摄像机,pro-camcorder,3,
遥控航拍摄像机,aerial-camcorder,4,
镜头,lenses,2,Y
单反镜头,dslr-lenses,1,
单电/微单镜头,mirroless-lenses,2,
旁轴镜头,rangefinder-lenses,3,
电影镜头,cine-lenses,4,
中大画幅镜头,large-format-lenses,5,
特效镜头,special-lenses,6,
摄影箱包,bags-and-cases,3,Y
相机背包,backpacks,1,
便携小包,small-bags,2,
保护箱,cases,3,
防潮箱,dry-cabinets,4,
设备保护,gear-protection,5,
配件,bags-cases-accessories,6,
脚架云台,trippods-support,4,Y
三脚架,tripods,1,
独脚架,monopods,2,
云台,heads,3,
脚架配件,tripods-accesseories,4,
云台配件,head-accessories,5,
小型设备支架,small-support,6,
闪光灯,flashs,5,Y
机顶闪光灯,on-camera-flash,1,
闪光灯配件,flash-accessories,2,
机顶照明,on-camera-light,3,
遥控闪光,remote-flash,4,
电源附件,power-accessories,5,
闪光灯支架,flash-support,6,
机身附件,camera-accessories,6,Y
遥控线控,camera-remote,1,
屏幕保护,screen-protector,2,
其他附件,camera-other-accessories,3,
镜头附件,lens-accessories,7,Y
镜头盖/遮光罩,lens-cap-hoods,1,
微距附加镜,additional-lenses,2,
一般附件,lens-other-accessories,3,
镜头保护,lens-protection,4,
镜头滤镜,lens-filters,8,Y
UV/保护镜,uv-filters,1,
ND减光镜,nd-filters,2,
特效滤镜,special-filters,3,
滤镜配件,filter-accessories,4,
存储设备,cards-storage,9,Y
存储卡,storage-cards,1,
硬盘存储,storage-harddrives,2,
胶片,film,3,
电池电源,batteries-power,10,Y
相机电池,camera-batteries,1,
电池手柄,batter-grips,2,
电源适配器,charger,3,
充电宝,battery-pack,4,